,corpus_name,committee_name,title,date,signature,inv,main_chair
0,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Polityki Mieszkaniowej,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Polityki Mieszkaniowej,23 lutego 1989 r,SYGNATURA= ,INW= 46034,Aleksander Paszyński
1,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Młodzieży,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Młodzieży,6 marca 1989 r,SYGNATURA= ,INW= 46039,Przewodniczący
2,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z pierwszego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,8 lutego 1989 r,SYGNATURA= C9540/2,INW= 46015,Władysław Baka
3,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z ósmego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,20 marca 1989 r,SYGNATURA= 9540/2,INW= 46022,Władysław Baka
4,KORPUS= Obrady Okrągłego Stołu,"Podzespół do spraw Nauki, Oświaty i Postępu Technicznego","STENOGRAM z czwartego posiedzenia Podzespołu do spraw Nauki, Oświaty i Postępu Technicznego",10 marca 1989 r,SYGNATURA= ,INW= 46052,Przewodniczący
5,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z szóstego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,7 marca 1989 r,SYGNATURA= C9540/5,INW= 46086,Adam Strzembosz
6,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z ósmego posiedzenia Podzespołu do spraw Górnictwa,17 marca 1989 r,SYGNATURA= ,INW= 46066,Alojzy Pietrzyk
7,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z jedenastego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,30 marca 1989 r,SYGNATURA= 9540/2,INW= 46025,Władysław Baka
8,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Samorządu Terytorialnego [4],3 marca 1989 r,SYGNATURA= C9540/14,INW= 46045,Wojciech Sokolewicz
9,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,27 lutego 1989 r,SYGNATURA= C9540/5,INW= 46084,Łukasz Balcer
10,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z szóstego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,22 marca 1989 r,SYGNATURA= C9540/11,INW= 46058,Krzysztof Kozłowski
11,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z ósmego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,16 marca 1989 r,SYGNATURA= C9540/5,INW= 46088,Łukasz Balcer i Adam Strzembosz
12,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z piątego posiedzenia Zespołu do spraw Pluralizmu Związkowego,10 marca 1989 r,SYGNATURA= 9540/3,INW= 46009,Tadeusz Mazowiecki
13,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Samorządu Terytorialnego [2],25 lutego 1989 r,SYGNATURA= C9540/14,INW= 46043,Jerzy Regulski
14,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z piątego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,6 marca 1989 r,SYGNATURA= C9540/2,INW= 46019,Witold Trzeciakowski
15,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z piątego posiedzenia Zespołu do spraw Reform Politycznych,20 marca 1989 r,SYGNATURA= 9540/4,INW= 46000,Bronisław Geremek
16,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z czwartego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,27 lutego 1989 r,SYGNATURA= C9540/2,INW= 46018,Witold Trzeciakowski
17,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Zdrowia,18 lutego 1989 r,SYGNATURA= ,INW= 46028,Andrzej Wojtczak
18,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Górnictwa,2 marca 1989 r,SYGNATURA= ,INW= 46062,Marian Gustek
19,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Stowarzyszeń [6],7 marca 1989 r,SYGNATURA= C9540/14,INW= 46047,Jan Brol
20,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z siódmego posiedzenia Zespołu do spraw Reform Politycznych,23 marca 1989 r,SYGNATURA= 9540/4,INW= 46002,Janusz Reykowski
21,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z drugiego posiedzenia Zespołu do spraw Pluralizmu Związkowego,16 lutego 1989 r,SYGNATURA= 9540/3,INW= 46006,Tadeusz Mazowiecki
22,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Górnictwa,20 lutego 1989 r,SYGNATURA= ,INW= 46060,Przewodniczący
23,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,10 marca 1989 r,SYGNATURA= C9540/11,INW= 46056,Krzysztof Kozłowski
24,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Stowarzyszeń [3],27 lutego 1989 r,SYGNATURA= C9540/14,INW= 46044,Stanisława Grabska
25,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z drugiego posiedzenia Zespołu do spraw Reform Politycznych,18 lutego 1989 r,SYGNATURA= 9540/4,INW= 45997,Janusz Reykowski
26,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z piątego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,28 lutego 1989 r,SYGNATURA= C9540/5,INW= 46085,Łukasz Balcer
27,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Ekologii,23 lutego 1989 r,SYGNATURA= 9540/6,INW= 46075,Jerzy Kołodziejski
28,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z czwartego posiedzenia Zespołu do spraw Pluralizmu Związkowego,6 marca 1989 r,SYGNATURA= 9540/3,INW= 46008,Aleksander Kwaśniewski
29,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z dziewiątego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,17 marca 1989 r,SYGNATURA= C9540/5,INW= 46089,Adam Strzembosz i Łukasz Balcer
30,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Rolnictwa,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Rolnictwa,7 marca 1989 r,SYGNATURA= ,INW= 46071,Stanisław Śliwiński
31,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Rolnictwa,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Rolnictwa,17 lutego 1989 r,SYGNATURA= ,INW= 46069,Andrzej Stelmachowski
32,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Rolnictwa,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Rolnictwa,15 lutego 1989 r,SYGNATURA= ,INW= 46068,Andrzej Stelmachowski
33,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Ekologii,22 lutego 1989 r,SYGNATURA= ,INW= 46074,Przewodniczący
34,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z siódmego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,10 marca 1989 r,SYGNATURA= C9540/5,INW= 46087,Przewodniczący
35,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z ósmego posiedzenia Zespołu do spraw Pluralizmu Związkowego,23 marca 1989 r,SYGNATURA= 9540/3,INW= 46012,Tadeusz Mazowiecki
36,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z piątego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,17 marca 1989 r,SYGNATURA= C9540/11,INW= 46057,Bogdan Jachacz
37,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z piątego posiedzenia Podzespołu do spraw Górnictwa,3 marca 1989 r,SYGNATURA= ,INW= 46063,Alojzy Pietrzyk
38,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z szóstego posiedzenia Podzespołu do spraw Ekologii,3 marca 1989 r,SYGNATURA= 9540/6,INW= 46078,Jerzy Kołodziejski
39,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z dziewiątego posiedzenia Podzespołu do spraw Górnictwa,21 marca 1989 r,SYGNATURA= ,INW= 46067,Rajmund Moric
40,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z dziewiątego posiedzenia Zespołu do spraw Reform Politycznych,4 kwietnia 1989 r,SYGNATURA= 9540/4,INW= 46004,Janusz Reykowski
41,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z siódmego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,16 marca 1989 r,SYGNATURA= 9540/2,INW= 46021,Władysław Baka
42,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z piątego posiedzenia Podzespołu do spraw Ekologii,2 marca 1989 r,SYGNATURA= 9540/6,INW= 46077,Jerzy Kołodziejski i Stefan Kozłowski
43,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Zdrowia,11 marca 1989 r,SYGNATURA= C9540/12,INW= 46031,Zofia Kuratowska
44,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Rolnictwa,STENOGRAM z piątego posiedzenia Podzespołu do spraw Rolnictwa,8 marca 1989 r,SYGNATURA= ,INW= 46072,Andrzej Stelmachowski
45,KORPUS= Obrady Okrągłego Stołu,Grupa Robocza do spraw Indeksacji Płac i Dochodów,STENOGRAM z posiedzeń Grupy Roboczej do spraw Indeksacji Płac i Dochodów,"21 lutego, 28 lutego i 7 marca 1989 r",SYGNATURA= C9540/15,INW= 46090,Antoni Rajkiewicz
46,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z pierwszego posiedzenia Zespołu do spraw Pluralizmu Związkowego,9 lutego 1989 r,SYGNATURA= 9540/3,INW= 46005,Aleksander Kwaśniewski
47,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Młodzieży,STENOGRAM z piątego posiedzenia Podzespołu do spraw Młodzieży,18 marca 1989 r,SYGNATURA= ,INW= 46041,Leszek Miller
48,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z szóstego posiedzenia Zespołu do spraw Reform Politycznych,22 marca 1989 r,SYGNATURA= 9540/4,INW= 46001,Bronisław Geremek
49,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z ósmego posiedzenia Podzespołu do spraw Ekologii,10 marca 1989 r,SYGNATURA= 9540/6,INW= 46080,Jerzy Kołodziejski
50,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z trzeciego posiedzenia Zespołu do spraw Reform Politycznych,1 marca 1989 r,SYGNATURA= 9540/4,INW= 45998,Bronisław Geremek
51,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Młodzieży,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Młodzieży,14 marca 1989 r,SYGNATURA= ,INW= 46040,Andrzej Celiński i Leszek Miller
52,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z trzynastego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,4 kwietnia 1989 r,SYGNATURA= 9540/2,INW= 46027,Władysław Baka
53,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z dwunastego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,1 kwietnia 1989 r,SYGNATURA= 9540/2,INW= 46026,Witold Trzeciakowski
54,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z szóstego posiedzenia Podzespołu do spraw Górnictwa,11 marca 1989 r,SYGNATURA= ,INW= 46064,Rajmund Moric
55,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Młodzieży,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Młodzieży,16 lutego 1989 r,SYGNATURA= ,INW= 46037,Andrzej Celiński i Leszek Miller
56,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z szóstego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,13 marca 1989 r,SYGNATURA= 9540/2,INW= 46020,Witold Trzeciakowski
57,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,21 lutego 1989 r,SYGNATURA= C9540/5,INW= 46082,Łukasz Balcer i Adam Strzembosz
58,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Młodzieży,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Młodzieży,28 lutego 1989 r,SYGNATURA= ,INW= 46038,Leszek Miller
59,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z trzeciego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,20 lutego 1989 r,SYGNATURA= 9540/2,INW= 46017,Władysław Baka
60,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Stowarzyszeń [7],17 marca 1989 r,SYGNATURA= C9540/14,INW= 46048,Przewodniczący
61,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z dziesiątego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,23 marca 1989 r,SYGNATURA= ,INW= 46024,Przewodniczący
62,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z drugiego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,13 lutego 1989 r,SYGNATURA= C9540/2,INW= 46016,Witold Trzeciakowski
63,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z trzeciego posiedzenia Zespołu do spraw Pluralizmu Związkowego,24 lutego 1989 r,SYGNATURA= 9540/3,INW= 46007,Romuald Sosnowski
64,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z dziesiątego posiedzenia Zespołu do spraw Pluralizmu Związkowego,4 kwietnia 1989 r,SYGNATURA= 9540/3,INW= 46014,Aleksander Kwaśniewski
65,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,25 lutego 1989 r,SYGNATURA= ,INW= 46054,Krzysztof Kozłowski
66,KORPUS= Obrady Okrągłego Stołu,Obrady plenarne,STENOGRAM z posiedzeń plenarnych Okrągłego Stołu,6 lutego i 5 kwietnia 1989 r,SYGNATURA= C9540/1,INW= 46091,Czesław Kiszczak
67,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Samorządu Terytorialnego [5],4 marca 1989 r,SYGNATURA= C9540/14,INW= 46046,Jerzy Regulski
68,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z dziewiątego posiedzenia Zespołu do spraw Pluralizmu Związkowego,30 marca 1989 r,SYGNATURA= 9540/3,INW= 46013,Romuald Sosnowski
69,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Podzespołu do spraw Stowarzyszeń i Samorządu Terytorialnego [1],21 lutego 1989 r,SYGNATURA= C9540/14,INW= 46042,Kazimierz Secomski
70,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z czwartego posiedzenia Zespołu do spraw Reform Politycznych,9 marca 1989 r,SYGNATURA= 9540/4,INW= 45999,Janusz Reykowski
71,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,22 lutego 1989 r,SYGNATURA= C9540/5,INW= 46083,Łukasz Balcer
72,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Zdrowia,28 lutego 1989 r,SYGNATURA= ,INW= 46029,Zofia Kuratowska
73,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Polityki Mieszkaniowej,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Polityki Mieszkaniowej,15 lutego 1989 r,SYGNATURA= C9540/8,INW= 46033,Mieczysław Serwiński
74,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Ekologii,14 lutego 1989 r,SYGNATURA= 9540/6,INW= 46073,Jerzy Kołodziejski
75,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z ósmego posiedzenia Zespołu do spraw Reform Politycznych,30 marca 1989 r,SYGNATURA= 9540/4,INW= 46003,Janusz Reykowski
76,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Polityki Mieszkaniowej,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Polityki Mieszkaniowej,2 marca 1989 r,SYGNATURA= C9540/8,INW= 46035,Mieczysław Serwiński
77,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z siódmego posiedzenia Zespołu do spraw Pluralizmu Związkowego,20 marca 1989 r,SYGNATURA= 9540/3,INW= 46011,Przewodniczący
78,KORPUS= Obrady Okrągłego Stołu,"Podzespół do spraw Nauki, Oświaty i Postępu Technicznego","STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Nauki, Oświaty i Postępu Technicznego",22 lutego 1989 r,SYGNATURA= ,INW= 46049,Jacek Fisiak
79,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z piątego posiedzenia Podzespołu do spraw Zdrowia,14 marca 1989 r,SYGNATURA= ,INW= 46032,Przewodniczący
80,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,11 lutego 1989 r,SYGNATURA= C9540/5,INW= 46081,Łukasz Balcer
81,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Rolnictwa,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Rolnictwa,27 lutego 1989 r,SYGNATURA= ,INW= 46070,Andrzej Stelmachowski
82,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z siódmego posiedzenia Podzespołu do spraw Górnictwa,14 marca 1989 r,SYGNATURA= ,INW= 46065,Marian Gustek
83,KORPUS= Obrady Okrągłego Stołu,"Podzespół do spraw Nauki, Oświaty i Postępu Technicznego","STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Nauki, Oświaty i Postępu Technicznego",3 marca 1989 r,SYGNATURA= ,INW= 46051,Jacek Fisiak
84,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Zdrowia,8 marca 1989 r,SYGNATURA= C9540/12,INW= 46030,Andrzej Wojtczak
85,KORPUS= Obrady Okrągłego Stołu,"Podzespół do spraw Nauki, Oświaty i Postępu Technicznego","STENOGRAM z drugiego posiedzenia Podzespołu do spraw Nauki, Oświaty i Postępu Technicznego",1 marca 1989 r,SYGNATURA= C9540/13,INW= 46050,Jacek Fisiak
86,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z szóstego posiedzenia Zespołu do spraw Pluralizmu Związkowego,16 marca 1989 r,SYGNATURA= 9540/3,INW= 46010,Romuald Sosnowski
87,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Ekologii,24 lutego 1989 r,SYGNATURA= 9540/6,INW= 46076,Jerzy Kołodziejski i Stefan Kozłowski
88,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z pierwszego posiedzenia Zespołu do spraw Reform Politycznych,10 lutego 1989 r,SYGNATURA= 9540/4,INW= 45996,Janusz Reykowski
89,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Górnictwa,25 lutego 1989 r,SYGNATURA= ,INW= 46061,Rajmund Moric
90,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Górnictwa,17 lutego 1989 r,SYGNATURA= ,INW= 46059,Marian Gustek
91,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,17 lutego 1989 r,SYGNATURA= ,INW= 46053,Bogdan Jachacz
92,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,4 marca 1989 r,SYGNATURA= ,INW= 46055,Bogdan Jachacz
93,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Polityki Mieszkaniowej,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Polityki Mieszkaniowej,9 marca 1989 r,SYGNATURA= C9540/8,INW= 46036,Aleksander Paszyński
94,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Ekologii,STENOGRAM z siódmego posiedzenia Podzespołu do spraw Ekologii,9 marca 1989 r,SYGNATURA= 9540/6,INW= 46079,Jerzy Kołodziejski i Stefan Kozłowski
95,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z dziewiątego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,22 marca 1989 r,SYGNATURA= 9540/2,INW= 46023,Przewodniczący
